PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
SNLNDRO_1_N014,,SNLNDRO_1_N014,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,8,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
SNTAMRA_1_N005,,SNTAMRA_1_N005,,2016-11-17T00:00:00,2030-12-31T23:59:59,2016-11-17T08:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
PETLMAC_6_N004,,PETLMAC_6_N004,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,13.072,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
STATIND_1_N001,,STATIND_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
TAFT1_1_N004,,TAFT1_1_N004,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,12.486,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RADUM_6_N001,,RADUM_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,8.232,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RICE_6_N002,,RICE_6_N002,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,5.713,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RINCON_1_N003,,RINCON_1_N003,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,14.11,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RIOBRVO_1_N001,,RIOBRVO_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,10.55,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
SUISUN_1_N008,,SUISUN_1_N008,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,28.249,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
SURF_1_N009,,SURF_1_N009,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,1.08,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
TORTILLA_1_N001,,TORTILLA_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,10.658,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RENFRO_1_N010,,RENFRO_1_N010,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,38.4,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
